Name	AverageStars	ReviewCount
Subway	2.728862974	4851
Panera Bread	2.815286624	5049
Earl of Sandwich	3.875	5328
Gordon Ramsay BurGR	4	5447
In-N-Out Burger	4.080645161	5596
Wicked Spoon	3.5	5950
Buffalo Wild Wings	2.78125	5996
Bacchanal Buffet	4	7009
Mon Ami Gabi	4	7361
Chipotle Mexican Grill	2.971428571	7982
McDonald's	2.142446043	9409
Hash House A Go Go	3.666666667	9840
Starbucks	3.25	19511
